text_id	text	task_1	task_2	task_3
hasoc_en_26	Empty podiums make too much noise     #ToryLeadershipDebate #UKPM #BorisJohnsonShouldNotBePM #Leadersdebate #GTTO #JC4PM2019 #frightnight https://t.co/aDgCqhdDTl	NOT	NONE	NONE
hasoc_en_27	#ShameOnICC #iccworldcup2019 world cup reality https://t.co/MhPD5gDVze	NOT	NONE	NONE
hasoc_en_28	Disgusting! And they don’t change their culture or come up with vetting system or preventative ways to stop this from occurring. This will continue to happen. The Catholic Church needs to go! #rapist #ChildTrafficking #CatholicChurch #CatholicTwitter https://t.co/tb4tSoD2Lz	HOF	HATE	TIN
hasoc_en_29	GOQii VITAL - Colour Display Blood Pressure Monitor  @ Rs.1999 (mrp-3499)    https://t.co/f9OHrx9kd2    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll	NOT	NONE	NONE
hasoc_en_30	500 doctors have already resigned in #Bengal.    NRS 100  SSKM 175  National medical college 20  RG Kar 126  North Bengal college 119  Murshidabad 50  Rampurhat 37  Burdwan 26    #DoctorsFightBack #SaveTheDoctors	NOT	NONE	NONE
hasoc_en_31	Hi everyone, I'm in Kolkata and just thought I'd let you know about some crazy goings on in the medical world here, which has become front page news.    Recent years have seen a rise in violence against doctors, often the most junior.     #DoctorsFightBack https://t.co/Wk3I7bXMR1	NOT	NONE	NONE
hasoc_en_32	@BCCI @ICC @englandcricket Worst ever world cup arrangement in cricket history #ShameOnICC #ShameOnEngland  #WC2019 No swimming pool, gym in hotel. #EnglishBeggers #RoyalBeggers	NOT	NONE	NONE
hasoc_en_33	@realDonaldTrump fuck you and go fuck yourself you piece of shit someone get this asshole a jail cell for his birthday #ImpeachTrumpNow #fucktrump #dickstaindonald #DerangedDonald https://t.co/41eFBCu2uD	HOF	PRFN	TIN
hasoc_en_34	Donald Trump lies.  #TrumpIsATraitor   Happy #JohnMcCainDay ! https://t.co/uaFNXVT2m5 https://t.co/WeBD6lhm54	NOT	NONE	NONE
hasoc_en_35	@TheRealOJ32 Of all the retired NFL players, why is it that you DON’T suffer from CTE?     You should be at the bottom of a pool you mistook for an elevator. #murderer	HOF	HATE	TIN
hasoc_en_36	The Telegraph´s use of the word ´crown´ with regard to Boris Johnson just says it all.  #BorisJohnsonShouldNotBePM   https://t.co/ynmm0Ryugq	NOT	NONE	NONE
hasoc_en_37	#DoctorsFightBack | No doctor wishes to stop emergency services: Dr Sayantan Banerjee, Resident doctor, AIIMS (Relative of assaulted Dr Paribaha Mukherjee) https://t.co/6OhGHwzPKy	NOT	NONE	NONE
hasoc_en_38	@timesofindia No worries @timesofindia because there will be on only one winner   And that is  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  Rains🤷   #ShameOnICC   .  .  .  .	NOT	NONE	NONE
hasoc_en_39	Will @ImRo45 score a 100 again today?  Predict @ https://t.co/miljukaKu1 and win prizes.   #INDvAUS #DhoniKeepsTheGlove   #DhoniAtCWC19 https://t.co/rZ1dlFsKOX	NOT	NONE	NONE
hasoc_en_40	DON'T support a country Who has Concentration Camps againts small etnich groups and religions      DON'T support the violencie and discrimination 🚫    #HumanRights #BoycottChina #StopRacismo #Diversity #China #EndHate #StopViolence https://t.co/FLmiZWIFjY	NOT	NONE	NONE
hasoc_en_41	#DhoniKeepsTheGlove@ICC you are zero without dhoni like captain,person... https://t.co/jxBh5MW1L5	NOT	NONE	NONE
hasoc_en_42	@ashwinnagar @MamataOfficial For interest of puplic she is speaking #DoctorsFightBack #doctors @MamataOfficial #MamataBanarjee	NOT	NONE	NONE
hasoc_en_43	Now if all remaining matches will get washed   NZ - 12  Ind - 11  Eng - 10  Aus - 10  WI - 9  SL - 9  Pak - 9  Ban - 8   SA - 6  Afg - 6    Semis  Aus vs NZ (If rain doesn't stop)  NZ  Eng vs Ind (If rain doesn't stop)  Ind    Final  Ind vs NZ (If rain doesn't stop)  NZ - India will win #ShameOnICC	NOT	NONE	NONE
hasoc_en_44	@Werdnat This crazy Manbaby will probably paint it gold.  Not gawdy at all.    #ihate45   #worstPresidentever   #weaselheadedfucknugget   #shutyourshithole   #fucktrump   #yousuck   #liarinchief   #noclass   #moron   #ridusofthisdisease  #UnfollowTrump  ┌∏┐ (•˽•)┌∏┐	HOF	PRFN	TIN
hasoc_en_45	This is everything. #fucktrump https://t.co/e2C48U3pss	HOF	PRFN	TIN
hasoc_en_46	@AMISHDEVGAN Where were the IMA &amp; other associations when doctors were being hounded for a year after #BRDOxygenTragedy without any fault of their own? Doctors need to stand up with each other, no matter who the assaulter is and who is in power  #DoctorsFightBack #DoctorsProtest	NOT	NONE	NONE
hasoc_en_47	Hey Trump ! These lovely ladies got something to tell ya ....  #FUCKTRUMP https://t.co/s1WhlaPaMf	HOF	PRFN	TIN
hasoc_en_48	I love this bill, I think they should start printing them #FuckTrump https://t.co/NY9CuyivGl	HOF	PRFN	TIN
hasoc_en_49	So basically he’s not vegan #dickhead 🙄 https://t.co/Z2SPDxudxp	HOF	PRFN	TIN
hasoc_en_50	@TheRealOJ32 The world will rejoice when you die. #murderer #classless	HOF	OFFN	TIN
hasoc_en_51	Acoustic &amp; Electric Guitar Kits from Rs.1699    https://t.co/wXRyzchSIH    Guitars &amp; Other Musical Instruments Upto 75% off    https://t.co/NCQt99ChnD    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll	NOT	NONE	NONE
hasoc_en_52	@realDonaldTrump Maybe @LindseyGrahamSC should take his lips off your ass, read the report, and get with the dems and everyone else with half a brain and get YOU out of the White House! 🤷‍♂️ #POSPOTUS #ASSKISSERS #ImpeachTrump #FuckTrump #ButNotLiterallyLindsey	HOF	PRFN	TIN
hasoc_en_53	https://t.co/soiOMk5pal    “This ruling sends a clear message that Muslim voices will not be silenced by threats and hate.” - @DeanObeidallah via @WashTimes     @MuslimAdvocates helped represent Mr. Obeidallah.     #AntiMuslim #Islamophobia #Justice https://t.co/9oV1I1zxev	NOT	NONE	NONE
hasoc_en_54	-50'C to -70'C avg. temp in #Siachen, in winters(avg. people feel cold +15'C)    In such #Skull freezing envrmnt #IndianArmy protect #us    But people like kanahiya kumar referred #IndianArmy as #rapist and supports who abuses and throw stones at #IndianArmy    https://t.co/gI6xQum7Ln	NOT	NONE	NONE
hasoc_en_55	Mamta ji pls don't drag Muslims in this case no one said they won't treat any particular religion   I am  a muslim pls stop speculating situation based on religion  Stop playing bloody politics   #MamtaBanerjee #DoctorsFightBack #India #westbengal #trinamool	NOT	NONE	NONE
hasoc_en_56	Are you watching, Johnson?  #borisjohnson  #BorisJohnsonShouldNotBePM #incompetent https://t.co/ysNwC9fGuI	NOT	NONE	NONE
hasoc_en_57	Well come to New Pakistan with new rates   #Budget2019 #PTIGovernment #imranhataomulkbachao https://t.co/Jj2Ip6YvSZ	NOT	NONE	NONE
hasoc_en_58	@realDonaldTrump Just this: T.R.U.M.P  is ...    GOOD! HE SHOULD BE!    #TrumpIsATraitor https://t.co/5LbpbOCrdg	NOT	NONE	NONE
hasoc_en_59	just going to leave this here 👏🏻 keep your eyes and mind open to how the media portray people and remember, question everything #Leadersdebate #BorisJohnsonShouldNotBePM https://t.co/xIKypuvnLA	NOT	NONE	NONE
hasoc_en_60	All the best to #TeamIndia for another swimming competition on Sunday against   #India 🇮🇳 #Pakistan. 🇵🇰     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/LmI5bnCCvR	NOT	NONE	NONE
hasoc_en_61	Unisex Anti Trump AF T-Shirt in Extended Sizes - Small up to 5x https://t.co/cCONVvIIWf  #fucktrump #antitrump #votebluenomatterwho https://t.co/oQkq0Ya6Gy	NOT	NONE	NONE
hasoc_en_62	@ICC @bira91 This world cup 19 should be ban !! 😡😡 Rain rain rain motherfuckerr ICC   Shift this world to another country or ban this world cup 19 😡😡   #ShameOnICC 😡😡	HOF	PRFN	TIN
hasoc_en_63	Learn how to cover up the ground #ShameOnICC	NOT	NONE	NONE
hasoc_en_64	😅😂🤣🤣    LMAO at the shoe-lifts, girdle-butt stance.  Pathetic.    But #FUCKTRUMP for the vomitus of lies he spews and crimes he commits😡🤬🤮🤬😡 https://t.co/1IhAUsvqnx	HOF	PRFN	TIN
hasoc_en_65	We have waited 4 years to see the world cup matches, not the rain. If this continues it will be very disappointing for all the fans.#ShameOnICC	NOT	NONE	NONE
hasoc_en_66	Gee... where have we seen this before? #fucktrump #ImpeachDonaldTrumpNOW Leaked docs reveal Russian effort to exert influence in Africa  https://t.co/Hb5krYqkIB	NOT	NONE	NONE
hasoc_en_67	Sarah Sanders is floating the idea of running for Arkansas governor, sources say #Resist #ResistTrump #FuckTrump https://t.co/L78qmZDJWu	NOT	NONE	NONE
hasoc_en_68	#dirtyjohn #bravo holy crap the guy was in #LosGatos and that's in my neck of the woods it's #siliconvalley #sanjose #scary #murderer	NOT	NONE	NONE
hasoc_en_69	#ShameOnICC: Indian Fans Unleash Their Wrath Upon ICC After Another World Cup Washout https://t.co/UeO1Iy22cr	NOT	NONE	NONE
hasoc_en_70	Throwback to the time when Pak dedicated an entire match to its army and the ICC didn't even flinch. India must not be pressured by ICC and change #Dhoni gloves. Don't let Pak win. Boycott the WC India!    #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh #DhoniKeepTheGloves https://t.co/pcJdN21liN	NOT	NONE	NONE
hasoc_en_71	I want to know too!  Thanks @AOC for asking these questions !  #FuckTrump #BeBest #OrangeFoolius. https://t.co/FLZlaqdSLt	NOT	NONE	NONE
hasoc_en_72	We don't need a special law. WE NEED PROPER UNBIASED ENFORCEMENT OF EXISTING LAWS. Once they are applied properly  and people jailed there will be deterrence.  We doctors must win back the trust of the people. This will ensure political support for us.  #DoctorsFightBack	NOT	NONE	NONE
hasoc_en_73	Top 50 hashtags mentioning @realDonaldTrump for 2019-06-15 07:00 to 2019-06-15 15:00 GMT+0  #MAGA #JohnMcCainDay #Trump2020 #DerangedDonald #Trump #TrumpIsATraitor #ImpeachTrumpNow #WWG1WGA #RT #ImpeachTrump   https://t.co/CSJrZiSfsH	NOT	NONE	NONE
hasoc_en_74	#DhoniKeepsTheGlove why only dhoni all the indian audience should also wear   the jersey and banner with 'Balidan' Insignia. Tv channels ,news papers and wherever possible should include this insignia.	NOT	NONE	NONE
hasoc_en_75	@jimsciutto @RepMcCaul Except... Trump’s hand has already been caught in the cookie jar trying to get “dirt” on an opponent from Russia.     Remember... Trump Tower?     #TrumpIsATraitor   #ImpeachmentHearingsNow https://t.co/AWvmmEqN2F	NOT	NONE	NONE
hasoc_en_76	Crabs LIVE! Covering the lies of the sleazy, cheating #GOP! https://t.co/GLZrjv6HxA ---&gt; 'Viva La Resistance!' #Trump #fucktrump #libcrib	NOT	NONE	NONE
hasoc_en_77	Livpure Glo 7L RO+UV + Mineralizer Water Purifier  @ Rs.9499 (mrp-15990)    https://t.co/iNAuUJY5tX    More:  https://t.co/Qw2tZtN8Lx    https://t.co/iNAuUJY5tX    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll	NOT	NONE	NONE
hasoc_en_78	The most awaited variant from #OnePlus - #OnePlus7Pro in Almond.  Buy Now on @amazonIN 👉https://t.co/yt4E7vkM32 with an EMI starting at just ₹2,495    #OnePlus7IsHere #oneplus7series #OnePlus7 #WorldBloodDonorDay #ShameOnICC #FridayMotivation #NBAFinals #FridayFeeling #WeTheNorth	NOT	NONE	NONE
hasoc_en_79	Ted Bundy’s final meal. He didn’t even pick at it. #execution #murderer #killer #tedbundy #breakfast #lethalinjection https://t.co/xJ4LrWmcph	NOT	NONE	NONE
hasoc_en_80	@CMofKarnataka,@siddaramaiah,  @MBPatil @DVSBJP  Dear Sir please look at this video we all met Earlier Homeminster for #TGSFraud and #DreamZGKfraud Like you he also promised.#IMAfraud https://t.co/PKAlmcjPcf  @suvarnanewstv	NOT	NONE	NONE
hasoc_en_81	Dear @ICC this is world cup not a club cricket so please check the umpiring errors instead of @msdhoni gloves.  #DhoniKeepsTheGlove #DhoniKeepTheGlove   #DhoniKeSaathDesh	NOT	NONE	NONE
hasoc_en_82	#INDvsNZ toss be like....#ShameOnICC https://t.co/aO6mN6OEl7	NOT	NONE	NONE
hasoc_en_83	@dna Instead of focusing on game, why have a unnecessary controversy. Is wearing a symbol only way to show respect. Rather Win the worldcup and dedicate it to our forces. It will give them more high n respect worldover. Its a matter of priority n  focus.#DhoniKeepsTheGlove	NOT	NONE	NONE
hasoc_en_84	Boris Johnson = chaos  @RoryStewartUK  = stability    It really is as simple as that! #Toryleadership #BorisJohnsonShouldNotBePM https://t.co/Uv37w5YMVC	NOT	NONE	NONE
hasoc_en_85	#DhoniKeepsTheGlove     What's wrong with @ICC??   Dhoni is first a soldier then a cricketer.....   @BCCI	NOT	NONE	NONE
hasoc_en_86	#DoctorsFightBack #PresidentsRule is only option TMC goons r not in control of @mamt https://t.co/XZvOa2LaO5	NOT	NONE	NONE
hasoc_en_87	@ICC why is it okay? #DhoniKeepsTheGlove #DhoniKeSaathDesh https://t.co/my3pMe9x2O	NOT	NONE	NONE
hasoc_en_88	You #supportdhoni  #MSDHONI  #DhoniKeSaathDesh  #Dhoni ???  #BCCI  #CWC19  #DhoniKeepTheGloves  #DhoniKeepsTheGlove  #DhoniKeepBalidaanBadgeGlove  #BalidanBadge  #Balidan  #bbccricket  #CricketWorldCup2019  #WorldCup2019    Retweet 🔄 for #msdhonigloves   Like 👍 👇	NOT	NONE	NONE
hasoc_en_89	@cbouzy Did my part.    #Murderer	NOT	NONE	NONE
hasoc_en_90	Hypocrisy of the Indian elite    #SaveBengal #Savethedoctors #India #MamataLosingControl #MamataBanerjee #Kolkata #WestBengal #BengalDoctorsStrike @MamataOfficial @BJPBengal @NewIndianXpress @TimesNow @republic #democracy #DoctorsFightBack #DoctorsStrike #DoctorsProtest https://t.co/OEDcx2uCeq	NOT	NONE	NONE
hasoc_en_91	5000+ Doctors and Non Medicos walked from NRS to CNMC for our cause.   History has been created as this is probably one of the biggest movement that has been carried out by the doctors.   #DoctorsFightBack https://t.co/QVZ12X03ma https://t.co/OKgUzp5JRa	NOT	NONE	NONE
hasoc_en_92	@realDonaldTrump Destroy our country?  More like defending our country against a treasonous traitor in the white house!    #TrumpIsATraitor   #TrumpTaxes  #TrumpsAnInternationalDisgrace   #TrumpMustResign	HOF	OFFN	TIN
hasoc_en_93	Gabor nails it again. A voice of reason.  #BorisJohnsonShouldNotBePM https://t.co/OzkGK5vL7n	NOT	NONE	NONE
hasoc_en_94	Few minutes left for Almond #OnePlus7Pro on @amazonIN   Available with #SBI Cash back of ₹2000 and up to 6 months No Cost EMI 💳    Quick hands on to buy it 👇    #OnePlus7 #OnePlus7IsHere #OnePlus7Pro #OnePlus  #WeTheNorth #ShameOnICC #FridayMotivation #FridayFeeling #NBAFinals	NOT	NONE	NONE
hasoc_en_95	AOC asks the FBI why they give white supremacists a pass #Resist #ResistTrump #FuckTrump https://t.co/kZscCJo2jR	NOT	NONE	NONE
hasoc_en_96	@kojikabu @Maggie_Klaus @JoeBiden What it is that we will do anything to get trump the hell out there EXCEPT CHEAT LIKE TRUMP DID!!!!  #FuckTrump #Bluewave2020	HOF	HATE	TIN
hasoc_en_97	Boris Johnson will lie about anything if it gives him an advantage. In the local elections he was forced to delete a tweet claiming to have just voted...BUT, there were no elections in his area! This Trump-like compulsive liar just can't stop himself... #BorisJohnsonShouldNotBePM https://t.co/Gpm4d9k8oR	NOT	NONE	NONE
hasoc_en_98	Ian Bagg Part 4: He once told a feature act who asked to sell his album after the show, “Nope, they came for me, not you”     #Fact #DoucheBag #50YearOldMan #47viewedPodcast	NOT	NONE	NONE
hasoc_en_99	@GuidoFawkes What a nasty lot #ToryLeadershipContest contenders have exposed themselves to be!  #ToryLeadershipContest   #BorisJohnsonShouldNotBePM	NOT	NONE	NONE
hasoc_en_100	Marlon Craft - Gang Shit (Official Music Video) https://t.co/jh7QJds6n0 via @YouTube @GOP #FuckTrump #CopsAreTheGang	NOT	NONE	NONE
hasoc_en_101	@BorisJohnson If we want to unite our country- we should commit that anyone who us scared to face a bit of public scrutiny shouldn't be allowed to run for Prime Minister...  #BorisJohnsonShouldNotBePM #BorisJohnson #ToryLeadership #ToryLeadershipDebate #ToriesOut	NOT	NONE	NONE
hasoc_en_102	Analysis: Sarah Sanders' legacy: The death of the White House press briefing #Resist #ResistTrump #FuckTrump https://t.co/jjU0hqifun	NOT	NONE	NONE
hasoc_en_103	So it looks like the lying incompetent homophobic racist #BorisJohnson will be the next #Tory leader...well at least we’ll get a #GeneralElection eh Boris?  #BorisJohnsonShouldNotBePM #ToryDrugOff #ToryLeadershipContest https://t.co/Ho4HibTo7A	HOF	OFFN	TIN
hasoc_en_104	It's not a windmill.  It's not a fan.  It's a wind turbine and it's good for the environment.    #fucktrump https://t.co/jWfqPYuV2Y	NOT	NONE	NONE
hasoc_en_105	@mayukhrghosh This is applaudable move by doctors. They save our lives. We must support them against the voilence. #Savethedoctors  #DoctorsFightBack	NOT	NONE	NONE
hasoc_en_106	This will not work we are not scapegoats.. centre should intervene. .  #DoctorsFightBack @narendramodi @PMOIndia @AmitShah @drharshvardhan	NOT	NONE	NONE
hasoc_en_107	Mitch McConnell, Too, Welcomes Russian Interference #Resist #ResistTrump #FuckTrump https://t.co/lrfPdmtEyk	NOT	NONE	NONE
hasoc_en_108	If a doctor needs to be assualted or killed for every patient who dies during treatment, then here is a list of people who also deserve the same fate. #Savethedoctors #SaveBengal #savethesaviour #SaveDoctors #DoctorsFightBack #DoctorsStrike #DoctorsProtest #doctor #DoctorStrike https://t.co/RPe3CTQPp3	NOT	NONE	NONE
hasoc_en_109	@mkraju Says the guy who killed the tree that Macron gave u for friendship n peace!! #sad #douchebag	NOT	NONE	NONE
hasoc_en_110	@TheRealOJ32 ...You're finally going to admit to something bad you did in the past?    #Juice #THEJUICEISLOOSE  #OJ #Simpson #Golf #course #Killer  Are you #OnTheHunt for the real #Killers?  #Murder #Redrum #Murderer?  #NicoleBrownSimpson #RonGoldman #Admit what you did #Comeclean  Tell the #truth https://t.co/LHiXlgS0wW	NOT	NONE	NONE
hasoc_en_111	#BorisJohnsonShouldNotBePM he is already ducking and diving the 5 friendly candidates...God help us when it comes to to the 27 European countries!! https://t.co/siS59z36pR	NOT	NONE	NONE
hasoc_en_112	1.Death of Dr Payal Tadvi  2.Arresting of Dr kafeel khan  3.72 children die due to insufficient oxygen!  Where were these doctors?  #DoctorsStrike  #DoctorsFightBack #DoctorsProtest #Savethedoctors	NOT	NONE	NONE
hasoc_en_113	Vinay Tewari, Consulting Editor: Global sporting events across the world work on volunteers &amp; I'm not too sure if #England is so badly placed that they can't hire 100 people as volunteers to push the cover to the ground #ShameOnICC https://t.co/c31H5rY6PJ	NOT	NONE	NONE
hasoc_en_114	#IndianPsychiatricSociety stands by #IndianMedicalAssociation. Condemns #ViolenceAgainstDoctors  #DoctorsFightBack #SolidarityWithNRSMCH #StopViolenceAgainstDoctors @MamataOfficial https://t.co/FIpSvBEdDb	NOT	NONE	NONE
hasoc_en_115	I urge every Indian to send mail to icc at enquiry@icc-cricket.com with this image asking them why he can’t keep the logo on that glove ?   #DhoniKeepTheGlove  #DhoniKeepsTheGlove https://t.co/OYP3eJcGCt	NOT	NONE	NONE
hasoc_en_116	@realDonaldTrump @StateDept @SecPompeo Japan disagrees...they saw something 'flying in' and then hitting the boat. #TrumpIsATraitor https://t.co/ADZvw82uZi	NOT	NONE	NONE
hasoc_en_117	@DesiCryptoHodlr In #India the severity of punishment for Holding just #bitcoin is equivalent the crime done by a #Rapist or a #Murderer Or #money Launderer or extortionist.   Really amazed to see where we are Heading.	NOT	NONE	NONE
hasoc_en_118	@TajinderBagga @fawadchaudhry 2uat @cricketworldcup is doing they have objection on #DhoniKeepsTheGlove	NOT	NONE	NONE
hasoc_en_119	Do your job #Senators #MBS #Murderer https://t.co/L0w7owl9gc	NOT	NONE	NONE
hasoc_en_120	#Trump's Constant Attacks on #FreePress are Merciless Attacks on #Democracy's Foundation #FuckTrump #TrumpFascism #ImpeachTheMF #StopFascism #Drumpf #ResistTrump #FascistTrump #SaveDemocracy #Cult45 #NotMyPresident #StopHate  #DumpTrump #PutinsPuppet #FBR https://t.co/nMKXGqFxMx	NOT	NONE	NONE
hasoc_en_121	@realDonaldTrump @JedediahBila Is there anything our so-called President does other than eating hamberder’s in bed and watching FauxNews while tweeting?    #LockTrumpUp  #ImpeachmentInquiryNow   #ImpeachTrump   #ImpeachBarr   #ImpeachMnuchin  #TrumpIsATraitor	NOT	NONE	NONE
hasoc_en_122	Meanwhile ....Dhoni's Reply To ICC ......    #DhoniKeepTheGlove #DhoniKeepsTheGlove   #DhoniKeSaathDesh  #dhonigloves #dhoni https://t.co/cEOOw8Kln3	NOT	NONE	NONE
hasoc_en_123	अभी भी समय बचा हुआ है।   Shift the #ICCCricketWorldCup2019   In India.😂😂  We need rain.  @BCCI  @ICC   @imVkohli   @msdhoni   @hardikpandya7   @SDhawan25     #ShameOnICC	NOT	NONE	NONE
hasoc_en_124	The whole #Dhoni’s gloves controversy during #CWC19, is outright immature &amp; mindless. I’d understand if there was anyone else you’d question the integrity &amp; intention  of, but not this guy. He is as pure &amp; genuine an ambassador of Sport, as you’ll ever get.     #DhoniKeepsTheGlove	NOT	NONE	NONE
hasoc_en_125	@mariomorgado @USWNT Losing 1, 13 or 100 is the same level of disappointment, so is winning 1 or 100 it's the same level of achievement and should be rewarded with any level of celebration desired.. It's hard work rewarded, not charity! #douchebag	NOT	NONE	NONE
hasoc_en_126	@aditi_hbl Proactive? Directive from above !! .. it is shameful interpretation from a journalist .  Every movement has a turning point ...   It is Now or Never   #DoctorsFightBack   #StopViolenceAgainstDoctors https://t.co/HFOFwA8S5M	NOT	NONE	NONE
hasoc_en_127	@ICC to BCCI:: Sorry we cant allow Ms Dhoni to keep the Army Gloves.    @BCCI reply:: Salaam thok, Sar Jhuka, Tu dum daba, Chal Rasta naap le..     #BalidanBadge #BalidanInsignia   #MSDHONI #IndiaWithDhoni #DhoniKeepsTheGlove #DhoniKeSathDesh   #BoycottWorldCup	NOT	NONE	NONE
hasoc_en_128	#etsy shop: Benedict Donald so called president is a traitor Short-Sleeve Unisex T-Shirt https://t.co/cFqiGN6kbT #clothing #shirt #streetwear #trump #impeach #treason #traitor #fucktrump #impeachtrump https://t.co/bd7A6awiqb	NOT	NONE	NONE
